epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4518,2.10108,8.30951,0.00496,0.38669,0.10417,0.14812,0.06952,2.11522,5.33776,0.00534,0.000323529,0.000323529,0.0679706
2,30.6797,1.92483,1.95694,0.00453,0.66929,0.28595,0.41055,0.19862,1.99565,3.12372,0.00479,0.000656856,0.000656856,0.0349706
3,43.5062,1.87586,1.36388,0.00433,0.64985,0.59505,0.61787,0.30607,2.01996,2.11453,0.00471,0.000990157,0.000990157,0.00197055
4,56.5082,1.90734,1.19576,0.00448,0.77969,0.77681,0.80517,0.39074,2.11114,1.12556,0.00489,0.000999912,0.000999912,0.000999912
5,69.6048,1.87735,0.99855,0.00426,0.72617,0.72884,0.7776,0.37906,2.08877,1.26852,0.00484,0.000999844,0.000999844,0.000999844
6,84.8909,1.87026,0.95053,0.00429,0.80348,0.74579,0.78401,0.38975,2.08628,1.15231,0.0047,0.000999756,0.000999756,0.000999756
7,98.5281,1.83826,0.89427,0.00428,0.84913,0.78029,0.8173,0.39508,2.14091,1.13477,0.00495,0.000999648,0.000999648,0.000999648
8,111.635,1.885,0.93442,0.00444,0.81087,0.76358,0.81026,0.40817,2.0688,1.07599,0.00471,0.000999521,0.000999521,0.000999521
9,129.169,1.84199,0.91959,0.00424,0.83148,0.79334,0.83616,0.41036,2.03804,0.9313,0.00472,0.000999375,0.000999375,0.000999375
10,142.187,1.81492,0.84759,0.00403,0.79912,0.8248,0.8524,0.42791,1.99253,1.00417,0.00452,0.000999209,0.000999209,0.000999209
11,155.41,1.79092,0.86758,0.00419,0.83036,0.81663,0.83192,0.42647,2.05789,0.92643,0.00477,0.000999023,0.000999023,0.000999023
12,167.959,1.82371,0.81527,0.00402,0.82147,0.83157,0.83892,0.41396,1.99596,0.8306,0.00455,0.000998818,0.000998818,0.000998818
13,182.279,1.77937,0.80731,0.00388,0.81051,0.79488,0.83518,0.43175,1.99949,0.846,0.00448,0.000998594,0.000998594,0.000998594
14,196.499,1.80305,0.80121,0.00407,0.84795,0.81436,0.85145,0.44002,1.99405,0.81958,0.00448,0.00099835,0.00099835,0.00099835
15,212.617,1.77168,0.79315,0.00405,0.85143,0.85932,0.87681,0.43647,2.09934,0.81265,0.00484,0.000998086,0.000998086,0.000998086
16,226.091,1.76149,0.77917,0.00396,0.81717,0.87299,0.85075,0.43498,2.01138,0.78695,0.00456,0.000997803,0.000997803,0.000997803
17,238.761,1.75153,0.75481,0.00395,0.82339,0.87078,0.86949,0.4375,2.12144,0.77409,0.0048,0.000997501,0.000997501,0.000997501
18,251.988,1.74603,0.73507,0.00397,0.85344,0.86756,0.89093,0.43785,2.11245,0.74487,0.00478,0.000997179,0.000997179,0.000997179
19,264.488,1.72628,0.74523,0.00397,0.84753,0.83912,0.87218,0.433,2.00311,0.79605,0.00444,0.000996838,0.000996838,0.000996838
20,277.066,1.73668,0.77603,0.00392,0.8382,0.85304,0.87546,0.44872,2.03126,0.75607,0.00465,0.000996477,0.000996477,0.000996477
21,290.482,1.70771,0.73219,0.00394,0.84988,0.86942,0.87876,0.45383,1.99812,0.77813,0.00443,0.000996097,0.000996097,0.000996097
22,303.684,1.72597,0.72349,0.00381,0.83024,0.88656,0.8767,0.45167,1.96127,0.71413,0.00451,0.000995697,0.000995697,0.000995697
23,316.166,1.73271,0.71757,0.00392,0.88542,0.89715,0.90564,0.44327,2.07146,0.72932,0.00482,0.000995278,0.000995278,0.000995278
24,328.938,1.72092,0.69324,0.00379,0.89299,0.88348,0.91315,0.46603,1.98005,0.7517,0.00446,0.00099484,0.00099484,0.00099484
25,342.748,1.71748,0.73247,0.00386,0.81997,0.88443,0.87048,0.4266,2.07423,0.81445,0.00475,0.000994383,0.000994383,0.000994383
26,355.393,1.69973,0.72222,0.0038,0.80593,0.87077,0.87652,0.44444,1.88442,0.81851,0.00428,0.000993906,0.000993906,0.000993906
27,367.969,1.72084,0.71981,0.00389,0.85109,0.85972,0.87389,0.43636,2.02161,0.78545,0.00447,0.00099341,0.00099341,0.00099341
28,381.094,1.74006,0.71927,0.00397,0.84544,0.83759,0.86844,0.45112,1.99433,0.70012,0.00444,0.000992894,0.000992894,0.000992894
29,393.572,1.71715,0.69126,0.0038,0.85783,0.87113,0.87781,0.43969,2.04852,0.70283,0.00462,0.000992359,0.000992359,0.000992359
30,405.952,1.67921,0.68235,0.0038,0.83501,0.87602,0.87051,0.43195,2.02857,0.74837,0.00455,0.000991805,0.000991805,0.000991805
31,418.356,1.68554,0.67798,0.00368,0.83079,0.86564,0.86878,0.44623,2.03261,0.71047,0.00458,0.000991232,0.000991232,0.000991232
32,430.749,1.64543,0.63671,0.0037,0.84949,0.87453,0.88202,0.451,1.92524,0.6809,0.00437,0.00099064,0.00099064,0.00099064
33,443.143,1.68429,0.64518,0.00374,0.81148,0.877,0.85832,0.44379,1.94984,0.70554,0.00444,0.000990028,0.000990028,0.000990028
34,455.615,1.66431,0.63332,0.00371,0.85832,0.87969,0.88594,0.42937,2.04027,0.68225,0.0047,0.000989398,0.000989398,0.000989398
35,468.039,1.69438,0.68097,0.00379,0.865,0.86365,0.87802,0.44933,2.01596,0.74663,0.00448,0.000988748,0.000988748,0.000988748
36,480.507,1.64771,0.66473,0.00373,0.84871,0.81767,0.85135,0.42157,2.02944,1.03897,0.00457,0.000988079,0.000988079,0.000988079
37,492.902,1.64495,0.67252,0.00368,0.86505,0.87309,0.87887,0.45685,2.01602,0.89349,0.00444,0.000987391,0.000987391,0.000987391
38,505.485,1.66564,0.67027,0.00356,0.83668,0.8638,0.86731,0.44753,1.98261,0.78361,0.00439,0.000986684,0.000986684,0.000986684
