epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5012,2.77333,28.6983,0.0044,0.01548,0.11111,0.02023,0.00511,2.49719,26.2436,0.00448,0.000285714,0.000285714,0.0717143
2,54.2696,2.9,27.1139,0.00428,0.01961,0.04444,0.01312,0.00365,2.61381,26.8306,0.00478,0.000619042,0.000619042,0.0387143
3,64.8451,2.72406,26.269,0.0042,0.02502,0.04444,0.01145,0.00371,2.6978,27.5647,0.00485,0.000952344,0.000952344,0.00571425
4,68.5466,2.06069,17.1235,0.0031,0.01105,0.04762,0.0024,0.00074,2.11421,34.6897,0.00397,0.000999912,0.000999912,0.000999912
5,73.8722,1.75153,9.41946,0.00269,0,0,0,0,2.09846,59.9128,0.00409,0.000999844,0.000999844,0.000999844
6,78.497,1.68788,6.86265,0.00269,0,0,0,0,2.10895,46.3723,0.00411,0.000999756,0.000999756,0.000999756
7,83.9646,1.67572,4.59897,0.00257,0.01342,0.17778,0.00511,0.00247,2.22092,24.6478,0.00455,0.000999648,0.000999648,0.000999648
8,89.8566,1.7946,3.39874,0.00268,0.00635,0.10317,0.00107,0.0003,2.31241,55.3203,0.00493,0.000999521,0.000999521,0.000999521
9,95.842,1.78264,2.52087,0.00263,0.02443,0.19365,0.01252,0.0046,2.21453,35.663,0.00427,0.000999375,0.000999375,0.000999375
10,101.713,1.74611,2.0083,0.00262,0.3262,0.27222,0.32085,0.11705,2.33984,3.43393,0.00431,0.000999209,0.000999209,0.000999209
11,124.736,1.76717,1.74746,0.00274,0.30022,0.29762,0.3333,0.13325,2.21271,3.46424,0.00398,0.000999023,0.000999023,0.000999023
12,148.374,1.75771,1.55551,0.00248,0.59182,0.27178,0.3515,0.111,2.33952,3.23009,0.00428,0.000998818,0.000998818,0.000998818
13,157.931,1.70145,1.35442,0.00257,0.71122,0.57362,0.64147,0.3024,1.83845,1.90587,0.00341,0.000998594,0.000998594,0.000998594
14,165.415,1.70764,1.21901,0.00282,0.78039,0.70873,0.79763,0.36589,1.98734,1.56737,0.00392,0.00099835,0.00099835,0.00099835
15,173.685,1.74144,1.11086,0.00261,0.93993,0.73761,0.8545,0.37731,1.93964,1.39721,0.00363,0.000998086,0.000998086,0.000998086
16,182.147,1.74651,0.98949,0.00267,0.90846,0.79678,0.86941,0.38818,1.9535,1.25201,0.00354,0.000997803,0.000997803,0.000997803
17,189.403,1.79811,0.88439,0.00268,0.87405,0.72606,0.85681,0.36494,2.03878,1.34869,0.00369,0.000997501,0.000997501,0.000997501
18,193.723,1.72496,0.8389,0.00252,1,0.70076,0.87119,0.40512,1.90287,1.20075,0.00339,0.000997179,0.000997179,0.000997179
19,198.879,1.78339,0.87729,0.00267,0.88983,0.87295,0.93817,0.45256,1.78879,0.88923,0.00319,0.000996838,0.000996838,0.000996838
20,204.37,1.73573,0.81436,0.00264,0.90524,0.8654,0.93821,0.42035,1.89102,0.842,0.00339,0.000996477,0.000996477,0.000996477
21,209.911,1.65954,0.77705,0.00254,0.8791,0.79178,0.91051,0.40782,1.91185,0.91717,0.00341,0.000996097,0.000996097,0.000996097
22,214.669,1.71779,0.80614,0.00249,0.86946,0.77511,0.89635,0.41431,1.89298,0.90839,0.00339,0.000995697,0.000995697,0.000995697
23,219.05,1.73858,0.78672,0.00246,0.90312,0.8078,0.90845,0.40653,1.93917,0.88689,0.00346,0.000995278,0.000995278,0.000995278
24,224.237,1.68229,0.79202,0.00259,0.88435,0.83245,0.90599,0.42098,1.9048,0.87379,0.00341,0.00099484,0.00099484,0.00099484
25,229.207,1.6487,0.73887,0.00234,0.86936,0.8462,0.89268,0.43473,1.80598,0.83448,0.00322,0.000994383,0.000994383,0.000994383
26,233.662,1.64057,0.74713,0.00247,0.86868,0.84762,0.89883,0.4457,1.79375,0.82316,0.0032,0.000993906,0.000993906,0.000993906
27,239.401,1.65362,0.72111,0.00257,0.84494,0.81457,0.88884,0.42374,1.85938,0.94587,0.00336,0.00099341,0.00099341,0.00099341
28,244.92,1.68016,0.69032,0.00243,0.9184,0.71886,0.84724,0.41453,1.8227,1.07088,0.00329,0.000992894,0.000992894,0.000992894
29,250.41,1.67979,0.70044,0.00254,0.92697,0.71503,0.85551,0.41967,1.83965,1.01919,0.00332,0.000992359,0.000992359,0.000992359
30,256.674,1.69715,0.73674,0.00272,0.92818,0.71695,0.88711,0.43063,1.87118,0.87548,0.00341,0.000991805,0.000991805,0.000991805
31,261.235,1.66296,0.67655,0.00242,0.9052,0.81969,0.92162,0.45184,1.80569,0.81526,0.0032,0.000991232,0.000991232,0.000991232
32,265.789,1.65264,0.646,0.00248,0.92063,0.86301,0.93969,0.46347,1.80357,0.79398,0.00318,0.00099064,0.00099064,0.00099064
33,278.065,1.62804,0.67255,0.00256,0.87499,0.92343,0.95145,0.46018,1.79403,0.78022,0.00318,0.000990028,0.000990028,0.000990028
34,286.101,1.71146,0.68723,0.0026,0.96903,0.87879,0.96057,0.43143,1.95882,0.73688,0.00355,0.000989398,0.000989398,0.000989398
35,295.466,1.698,0.64713,0.00273,0.89487,0.86996,0.94666,0.41417,1.94982,0.7444,0.00354,0.000988748,0.000988748,0.000988748
36,301.751,1.64477,0.63019,0.00248,0.94483,0.85238,0.93762,0.44151,1.81256,0.78384,0.00323,0.000988079,0.000988079,0.000988079
37,309.67,1.68954,0.6648,0.0025,0.97367,0.85205,0.94442,0.46422,1.76263,0.72234,0.00315,0.000987391,0.000987391,0.000987391
38,316.273,1.61207,0.66916,0.00227,0.9172,0.89486,0.96265,0.45928,1.81388,0.66048,0.00324,0.000986684,0.000986684,0.000986684
39,322.463,1.60817,0.68001,0.0022,0.96506,0.90245,0.97132,0.47053,1.7679,0.63866,0.0032,0.000985958,0.000985958,0.000985958
40,330.184,1.58536,0.60346,0.00237,0.94001,0.86443,0.93298,0.44824,1.80032,0.81063,0.00325,0.000985213,0.000985213,0.000985213
41,335.186,1.60139,0.61425,0.00228,0.92428,0.83706,0.92761,0.43759,1.77636,0.88089,0.00319,0.000984449,0.000984449,0.000984449
42,339.837,1.65441,0.60906,0.00237,0.94243,0.84378,0.94536,0.46027,1.80127,0.74222,0.00319,0.000983666,0.000983666,0.000983666
43,345.202,1.61653,0.63553,0.00237,0.91596,0.87491,0.94884,0.44413,1.82731,0.77257,0.00323,0.000982864,0.000982864,0.000982864
44,352.101,1.64554,0.62188,0.00228,0.88434,0.90494,0.95268,0.43123,1.88133,0.75306,0.00336,0.000982043,0.000982043,0.000982043
45,359.353,1.59149,0.60238,0.00222,0.85274,0.90261,0.9504,0.42164,1.88879,0.77269,0.00339,0.000981204,0.000981204,0.000981204
46,364.682,1.59299,0.61453,0.00241,0.83912,0.94533,0.95205,0.41186,1.89872,0.77053,0.00344,0.000980345,0.000980345,0.000980345
47,369.723,1.5884,0.63469,0.00238,0.87462,0.93041,0.95697,0.39527,1.93358,0.76115,0.00351,0.000979468,0.000979468,0.000979468
48,374.07,1.60625,0.61463,0.00242,0.83801,0.91825,0.94492,0.40288,1.90705,0.72661,0.00344,0.000978572,0.000978572,0.000978572
49,378.83,1.59232,0.57744,0.00235,0.95449,0.89444,0.96239,0.45084,1.78192,0.64618,0.00318,0.000977658,0.000977658,0.000977658
50,383.374,1.59969,0.57198,0.00237,0.91343,0.89295,0.96112,0.45634,1.77871,0.67629,0.00319,0.000976725,0.000976725,0.000976725
51,389.636,1.54462,0.56103,0.00223,0.91006,0.92095,0.95746,0.45639,1.76556,0.69202,0.00313,0.000975773,0.000975773,0.000975773
52,397.003,1.52974,0.59325,0.00221,0.88153,0.87591,0.94925,0.43172,1.85512,0.72588,0.00331,0.000974803,0.000974803,0.000974803
53,402.476,1.53406,0.57696,0.00221,0.90891,0.8754,0.93751,0.41997,1.85465,0.88488,0.00329,0.000973814,0.000973814,0.000973814
54,407.604,1.5139,0.57518,0.0023,0.93084,0.88599,0.90911,0.41282,1.84939,0.91516,0.00331,0.000972806,0.000972806,0.000972806
55,412.755,1.61001,0.61501,0.00234,0.91952,0.8627,0.95116,0.43903,1.85962,0.73316,0.00339,0.00097178,0.00097178,0.00097178
56,417.389,1.57561,0.63247,0.00243,0.9018,0.88852,0.94202,0.43735,1.8835,0.66404,0.00346,0.000970736,0.000970736,0.000970736
57,423.279,1.59897,0.61139,0.00237,0.8912,0.91825,0.93799,0.41775,1.90179,0.69024,0.00347,0.000969673,0.000969673,0.000969673
58,429.011,1.57646,0.62073,0.00222,0.94921,0.87381,0.95928,0.42068,1.93335,0.76124,0.0035,0.000968592,0.000968592,0.000968592
59,435.1,1.55821,0.60103,0.00221,0.93139,0.90711,0.96158,0.44383,1.88031,0.7591,0.0034,0.000967493,0.000967493,0.000967493
60,441.525,1.56193,0.59007,0.00233,0.94118,0.89598,0.94908,0.42619,1.91189,0.75333,0.00343,0.000966375,0.000966375,0.000966375
61,448.553,1.62473,0.55283,0.00234,0.96028,0.82619,0.93879,0.42345,1.93378,0.72481,0.00346,0.000965239,0.000965239,0.000965239
62,454.527,1.52558,0.56312,0.00217,0.86992,0.89524,0.93894,0.44348,1.83608,0.67478,0.00328,0.000964085,0.000964085,0.000964085
63,459.342,1.55219,0.56691,0.00235,0.85879,0.89374,0.9509,0.43105,1.83966,0.69127,0.00328,0.000962913,0.000962913,0.000962913
64,464.425,1.61481,0.60119,0.00232,0.88907,0.89524,0.93585,0.41809,1.89886,0.69556,0.00341,0.000961723,0.000961723,0.000961723
65,468.996,1.57174,0.59436,0.00224,0.94358,0.83968,0.92799,0.42385,1.87392,0.719,0.00337,0.000960515,0.000960515,0.000960515
66,476.026,1.50824,0.59478,0.00215,0.95318,0.87798,0.9598,0.43757,1.90776,0.76704,0.00344,0.000959289,0.000959289,0.000959289
